folder,generator
0130_the_wretched_of_the_earth,emotional-journey-generator
0131_on_the_origin_of_species,narrative-prompt-generator
0132_the_interpretation_ of_dreams,symbolic-moments-generator
0133_silent_spring,socio-political-commentary-generator
0134_pere_goriot,character-perspective-generator
0135_adventures_of_huckleberry_finn,emotional-journey-generator
0136_in_search_of_lost_time,temporal-shift-generator
0137_mrs_dalloway,temporal-shift-generator
0138_the_waste_land,atmospheric-moments-generator
0139_the_sound_and_the_fury,temporal-shift-generator
0140_the_stranger,character-perspective-generator
0141_waiting_for_godot,symbolic-moments-generator
0142_the_real_story_of_ahq,narrative-prompt-generator
0143_gitanjali,sensory-immersion-generator
0144_ficciones,symbolic-moments-generator
0145_the_cairo_trilogy,temporal-shift-generator
0146_season_of_migration_to_the_north,emotional-journey-generator
0147_the_god_of_small_things,sensory-immersion-generator
0148_midnight_children,temporal-shift-generator
0149_the_house_of_the_spirits,temporal-shift-generator
0150_love_in_the_time_of_cholera,emotional-journey-generator
